ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,local_code,coordinates
49838,55113,102322,4491,107303,107310,107557,135365,15490,15490,195353
49839,55113,102323,102,107303,107310,107578,110627,48113,48113,195354
49840,55116,102324,1655,107303,107310,107583,113437,9426,9426,195355
49841,55113,102325,1229,107303,107310,107556,113071,15260,15260,195356
49842,55113,102326,1337,107303,107310,107549,135366,2479,2479,195357
49843,55113,102327,108,107303,107310,107578,114090,48270,48270,195358
49844,55113,102328,54,107303,107310,107581,115654,1663,1663,195359
49845,55114,60205,779,107303,107310,107569,112199,33607,33607,195360
49846,55114,102329,916,107303,107310,107554,113553,37697,37697,195361
49847,55114,102330,3224,107303,107310,107578,114065,48099,48099,195362
49848,55114,102331,564,107303,107310,107573,111195,36824,36824,195363
49849,55114,102332,884,107303,107310,107567,114210,8003,8003,195364
49850,55116,102333,104,107303,107310,107558,110419,20309,20309,195365
49851,55113,102334,40,107303,107310,107558,111875,20298,20298,195366
49852,55116,102335,99,107303,107310,107558,135274,20334,20334,195367
49853,55114,102336,1394,107303,107310,107577,132196,41700,41700,195368
49854,55113,102337,1246,107303,107310,107568,113129,33503,33503,195369
49855,55114,102338,1134,107303,107310,107554,114261,9546,9546,195370
49856,55114,102339,1184,107303,107310,107554,114261,37700,37700,195371
49857,55114,102340,1448,107303,107310,107554,114261,37698,37698,195372
49858,55113,102341,1406,107303,107310,107568,124653,9201,9201,195373
49859,55113,102342,5098,107303,107310,107570,113766,33968,33968,195374
49860,55114,102343,2764,107303,107310,107555,135367,11981,11981,195375
49861,55113,102344,124,107303,107310,107558,110953,441,441,195376
49862,55113,102345,1134,107303,107310,107554,111431,3422,3422,195377
49863,55114,102346,1459,107303,107310,107554,110828,4524,4524,195378
49864,55114,102347,444,107303,107310,107581,112283,4663,4663,195379
49865,55113,102348,799,107303,107310,107554,112934,4952,4952,195380
49866,55114,102349,1442,107303,107310,107554,135368,5554,5554,195381
49867,55114,102350,850,107303,107310,107569,128192,5943,5943,195382
49868,55114,102351,814,107303,107310,107549,110728,138626,138626,195383
49869,55113,102352,519,107303,107310,107549,135369,4546,4546,195384
49870,55114,102353,1270,107303,107310,107561,135370,111581,145589,195385
49871,55115,57972,1332,107303,107310,107549,111317,111581,111581,195386
49872,55113,102354,984,107303,107310,107578,110626,6625,6625,195387
49873,55113,102355,1503,107303,107310,107568,114214,8857,8857,195388
49874,55113,102356,891,107303,107310,107574,112197,6543,6543,195389
49875,55113,102357,1023,107303,107310,107574,135371,5132,5132,195390
49876,55114,102358,1087,107303,107310,107554,114370,5558,5558,195391
49877,55114,102359,42,107303,107310,107582,135372,8111,8111,195392
49878,55114,102360,1203,107303,107310,107574,129626,37396,37396,195393
49879,55114,102361,3940,107303,107310,107592,112249,111581,36404,195394
49880,55113,102362,111,107303,107310,107556,111785,13685,13685,195395
49881,55113,102363,1137,107303,107310,107573,125674,36785,36785,195396
49882,55114,102364,869,107303,107310,107569,110480,9578,9578,195397
49883,55116,102365,1527,107303,107310,107568,111094,7821,7821,195398
49884,55114,102366,4926,107303,107310,107593,111094,36713,36713,195399
49885,55116,102367,1310,107303,107310,107568,114305,2463,2463,195400
49886,55113,102368,884,107303,107310,107578,110937,52677,52677,195401
49887,55114,102369,615,107303,107310,107572,113291,6493,6493,195402
49888,55114,102370,393,107303,107310,107578,112874,52669,52669,195403
